,update,total_updates,T,FPS,window,mean,median,min,max
0,0,122,8192,232,50,-61.65425353999999,-59.999305,-100.982833,-33.530648
1,1,122,16384,233,50,-54.61171778,-52.8704745,-109.44971,-23.332839
2,2,122,24576,233,50,-55.42171369999999,-54.52739,-86.291205,-26.75449
3,3,122,32768,234,50,-53.48972091999999,-51.207410499999995,-87.556891,-31.626196
4,4,122,40960,234,50,-50.31223038,-49.919907499999994,-79.55562,-31.616931
5,5,122,49152,234,50,-48.31542258,-49.4900815,-64.220965,-23.142842
6,6,122,57344,234,50,-44.623969939999995,-47.3316905,-73.879713,91.961186
7,7,122,65536,234,50,-45.78623496,-46.562508,-75.386059,-25.325051
8,8,122,73728,235,50,-48.764868400000005,-48.384330000000006,-94.457155,-26.38247
9,9,122,81920,235,50,-48.099381560000005,-48.2259105,-68.988769,-28.862854
10,10,122,90112,235,50,-50.88692756000001,-51.6241715,-81.246301,-30.725108
11,11,122,98304,235,50,-51.96345538,-50.361221,-75.338776,-28.592966
12,12,122,106496,235,50,-52.998008999999996,-51.9918505,-73.867787,-26.087427
13,13,122,114688,235,50,-54.392119920000006,-56.6116205,-68.143108,-30.897935
14,14,122,122880,235,50,-52.25171717999999,-53.002607999999995,-81.273656,-30.09135
15,15,122,131072,235,50,-51.2594244,-52.2837125,-73.325285,-25.258988
16,16,122,139264,235,50,-53.43399485999999,-51.5867455,-75.107206,-31.28332
17,17,122,147456,235,50,-56.757011519999985,-57.5431465,-80.322517,-29.64713
18,18,122,155648,235,50,-51.59971178000001,-52.8124955,-83.926315,78.050197
19,19,122,163840,235,50,-60.007527759999995,-58.2396725,-90.163356,-35.158151
20,20,122,172032,235,50,-55.97323172,-56.4493695,-83.562032,-25.222888
21,21,122,180224,235,50,-53.70862187999999,-54.2617925,-75.178362,-32.62931
22,22,122,188416,235,50,-51.542465979999996,-52.501997,-72.150839,-29.891075
23,23,122,196608,235,50,-50.52897831999999,-49.5897925,-77.070007,-28.653198
24,24,122,204800,235,50,-55.252165500000004,-53.63905,-74.230955,-25.208809
25,25,122,212992,235,50,-53.19318855999999,-54.189742499999994,-91.818562,83.275497
26,26,122,221184,235,50,-56.686612059999995,-58.093960499999994,-83.716325,-29.329091
27,27,122,229376,235,50,-57.0637636,-56.1275505,-85.873533,-31.664661
28,28,122,237568,236,50,-55.81815652,-56.567124,-80.315648,-23.965447
29,29,122,245760,236,50,-56.32525908,-55.402373999999995,-79.203269,-28.661453
30,30,122,253952,236,50,-61.09062724,-62.0082015,-78.430539,-31.919721
31,31,122,262144,236,50,-61.122919300000014,-61.064606,-88.372077,-31.919721
32,32,122,270336,236,50,-60.2122328,-60.057481,-88.372077,-35.747423
33,33,122,278528,236,50,-58.67338159999999,-59.817922,-85.265501,-25.238436
34,34,122,286720,236,50,-57.46097918,-57.1956755,-85.265501,86.04378
35,35,122,294912,236,50,-58.02652858,-61.4183075,-86.583161,86.04378
36,36,122,303104,236,50,-60.10827517999999,-61.742134,-86.447604,-27.977569
37,37,122,311296,236,50,-59.53342263999999,-59.5795325,-88.482699,-29.555587
38,38,122,319488,236,50,-53.58780058,-54.719994,-87.955693,93.111713
39,39,122,327680,236,50,-53.12111412,-54.419354999999996,-84.036448,93.111713
40,40,122,335872,236,50,-56.34989757999999,-55.0719835,-88.093893,-37.759555
41,41,122,344064,236,50,-59.23263306,-56.35482,-88.093893,-37.137507
42,42,122,352256,236,50,-58.65678124,-56.46468,-84.940335,-42.814207
43,43,122,360448,236,50,-54.42572829999999,-54.608222,-84.940335,66.756588
44,44,122,368640,236,50,-55.40028458,-57.2151205,-78.929069,66.756588
45,45,122,376832,236,50,-59.68851015999999,-57.9095955,-89.112263,-43.411993
46,46,122,385024,236,50,-55.06003648,-56.8832285,-89.112263,58.090832
47,47,122,393216,236,50,-56.847828959999994,-57.1657275,-85.988467,58.090832
48,48,122,401408,236,50,-53.96043184,-54.344841,-85.013588,76.217604
49,49,122,409600,237,50,-51.291864319999995,-54.044357500000004,-72.828015,76.217604
50,50,122,417792,237,50,-53.649622859999994,-54.792795,-72.828015,-31.39303
51,51,122,425984,237,50,-54.084850100000004,-55.8306725,-74.791635,-37.272092
52,52,122,434176,237,50,-53.339419500000005,-52.9892315,-77.612198,-37.272092
53,53,122,442368,237,50,-49.48718228,-50.2844815,-73.317886,51.968157
54,54,122,450560,237,50,-51.66572586,-54.0983775,-69.405305,51.968157
55,55,122,458752,237,50,-55.34577012,-54.244875,-85.515049,-43.325099
56,56,122,466944,237,50,-55.611486459999995,-53.4318635,-85.515049,-43.325099
57,57,122,475136,237,50,-51.872786080000004,-50.7493505,-82.422656,-36.414498
58,58,122,483328,237,50,-51.09438406,-50.7493505,-86.092298,-35.546205
59,59,122,491520,237,50,-51.387819799999995,-50.121606,-86.092298,-35.546205
60,60,122,499712,237,50,-51.439608879999994,-51.9228235,-60.715762,-39.637997
61,61,122,507904,237,50,-51.23831886,-52.203677,-66.421031,-41.073918
62,62,122,516096,237,50,-47.71486409999999,-50.9796775,-59.730541,59.206855
63,63,122,524288,237,50,-49.96963808,-52.281506500000006,-61.724744,59.206855
64,64,122,532480,237,50,-47.67014528,-52.074132500000005,-66.033345,68.55191
65,65,122,540672,237,50,-45.498727839999994,-52.610946999999996,-66.033345,68.55191
66,66,122,548864,237,50,-48.374283299999995,-53.767638,-62.610808,78.241976
67,67,122,557056,237,50,-49.74926506,-52.536699,-61.086607,78.241976
68,68,122,565248,237,50,-49.740874639999994,-52.582314,-61.351675,65.331018
69,69,122,573440,237,50,-46.642667519999996,-51.980052,-64.170505,77.418017
